City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Description
zhangye,CN,38.9342,100.4517,27.45,47,28,3.91,scattered clouds
new norfolk,AU,-42.7826,147.0587,54.91,41,70,5.01,broken clouds
umea,SE,63.8284,20.2597,21.13,86,100,6.91,overcast clouds
kulevcha,UA,46.0303,29.9361,42.73,84,100,2.66,overcast clouds
hobart,AU,-42.8794,147.3294,55.27,54,40,19.57,scattered clouds
mar del plata,AR,-38.0023,-57.5575,75.22,81,40,19.57,thunderstorm
guerrero negro,MX,27.9769,-114.0611,61.21,71,2,14.36,clear sky
olinda,BR,-8.0089,-34.8553,80.33,74,75,6.91,broken clouds
lompoc,US,34.6391,-120.4579,52.79,88,0,0.0,clear sky
upernavik,GL,72.7868,-56.1549,24.28,70,100,13.73,overcast clouds
biak,ID,-0.9131,122.8766,83.64,61,77,3.33,broken clouds
nizhnyaya poyma,RU,56.1622,97.1933,8.6,88,100,13.02,overcast clouds
cape town,ZA,-33.9258,18.4232,68.38,73,0,13.0,clear sky
cranbrook,CA,49.4999,-115.7688,22.84,74,75,4.61,broken clouds
leningradskiy,RU,69.3833,178.4167,-14.37,100,98,4.83,overcast clouds
vaini,TO,-21.2,-175.2,84.36,84,75,4.61,broken clouds
atuona,PF,-9.8,-139.0333,78.24,73,14,17.72,few clouds
busselton,AU,-33.65,115.3333,72.86,55,0,13.24,clear sky
praia,CV,14.9215,-23.5087,73.94,83,40,8.05,scattered clouds
rikitea,PF,-23.1203,-134.9692,75.63,80,6,19.26,clear sky
kurilsk,RU,45.2333,147.8833,31.93,57,100,5.06,overcast clouds
mahon,ES,39.8885,4.2658,55.96,94,100,3.44,overcast clouds
georgetown,MY,5.4112,100.3354,84.13,74,20,9.22,few clouds
husavik,IS,66.0449,-17.3389,26.47,70,100,9.62,overcast clouds
mayo,US,38.8876,-76.5119,56.97,95,100,6.91,mist
bambous virieux,MU,-20.3428,57.7575,77.25,83,75,16.11,broken clouds
ushuaia,AR,-54.8,-68.3,42.46,56,40,14.97,scattered clouds
berlevag,NO,70.8578,29.0864,35.55,69,100,27.63,overcast clouds
ponta do sol,PT,32.6667,-17.1,65.01,84,86,16.04,light rain
haines junction,CA,60.7522,-137.5108,15.75,86,99,0.0,overcast clouds
pisco,PE,-13.7,-76.2167,66.25,82,0,2.3,clear sky
bathsheba,BB,13.2167,-59.5167,77.05,87,20,6.91,few clouds
kodiak,US,57.79,-152.4072,31.51,51,20,29.93,few clouds
mangla,PK,31.8931,72.3817,61.74,31,81,1.28,broken clouds
constitucion,CL,-35.3333,-72.4167,58.42,90,8,4.07,clear sky
bethel,US,41.3712,-73.414,56.91,89,75,0.0,broken clouds
goundam,ML,16.4145,-3.6708,74.75,17,0,7.52,clear sky
qaanaaq,GL,77.484,-69.3632,13.23,89,100,2.13,light snow
chokurdakh,RU,70.6333,147.9167,-23.75,99,76,6.31,broken clouds
